date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:59	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c4-56f%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.animateNumber.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.animateNumber.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:59	1946/1946	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c0-79a%22	https://colorlib.com/preview/theme/brighthotel/js/google-map.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/google-map.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:23:01	5656/5656	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787cd-1618%22	https://colorlib.com/preview/theme/brighthotel/js/main.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/main.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:23:02	12021/12021	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2bbde-2ef5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/a2bd7673/cloudflare-static/rocket-loader.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/ajax.cloudflare.com/cdn-cgi/scripts/a2bd7673/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:23:03	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225b378801-6e24%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.eot	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.eot	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:03	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225b378801-6e24%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.eot?	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconicd41d.eot	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:04	14984/14984	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b378804-3a88%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.woff	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.woff	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:04	28028/28028	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225b378802-6d7c%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.ttf	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.ttf	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:06	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b378802-d605%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.svg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.svg	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:07	20996/20996	---MCZ	200	added ('OK')	font/opentype	etag:W/%225b378800-5204%22	https://colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.otf	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/open-iconic/open-iconic.otf	(from https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css)
11:23:07	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2011:23:07%20GMT	https://colorlib.com/preview/theme/brighthotel/css/owl.video.play.png	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/owl.video.play.png	(from https://colorlib.com/preview/theme/brighthotel/css/owl.carousel.min.css)
11:23:10	50592/50592	---M--	200	added ('OK')	application/font-woff2	etag:%225b378866-c5a0%22	https://colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons580c.woff2	(from https://colorlib.com/preview/theme/brighthotel/css/ionicons.min.css)
11:23:11	66024/66024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b378864-101e8%22	https://colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons580c.woff	(from https://colorlib.com/preview/theme/brighthotel/css/ionicons.min.css)
11:23:13	112648/112648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225b378860-1b808%22	https://colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons580c.ttf	(from https://colorlib.com/preview/theme/brighthotel/css/ionicons.min.css)
11:23:13	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b378865-4c76f%22	https://colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/ionicons/fonts/ionicons580c.svg	(from https://colorlib.com/preview/theme/brighthotel/css/ionicons.min.css)
11:23:14	7218/7218	---M--	200	added ('OK')	application/octet-stream	etag:%225b37883a-1c32%22	https://colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticon.eot	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/brighthotel/css/flaticon.css)
11:23:15	7218/7218	---M--	200	added ('OK')	application/octet-stream	etag:%225b37883a-1c32%22	https://colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticon.eot?	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/brighthotel/css/flaticon.css)
11:23:16	4512/4512	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b37883e-11a0%22	https://colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticon.woff	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/brighthotel/css/flaticon.css)
